CategoryID,Active,DisplayOrder,DisplayCode,Title,Description,RecommendationID,Notes
CAT-001,TRUE,10,1-1,PMS before your period starts,"For those with ovaries and uterus. Symptoms occur before menstruation.",REC-PROG,
CAT-002,TRUE,20,1-2,Heavy periods with clotting,"For those with ovaries and uterus. Heavy menstrual bleeding with clotting.",REC-EST,
CAT-003,TRUE,30,1-3,Periods becoming more normal,"For those with ovaries and uterus. Periods becoming more regular after previously being heavy.",REC-EST+PROG,
CAT-004,TRUE,40,1-4,Beginning to skip periods,"For those with ovaries and uterus. Early perimenopause.",REC-EST+PROG,
CAT-005,TRUE,50,1-5,No periods,"For those with ovaries and uterus. Menopause or no menstrual periods.",REC-EST+PROG,
CAT-006,TRUE,60,2-1,Ovaries, no uterus (ages 20-35),"For those with ovaries but no uterus.",REC-EST,
CAT-007,TRUE,70,2-2,Ovaries, no uterus (ages 35-45),"For those with ovaries but no uterus.",REC-EST+PROG,
CAT-008,TRUE,80,2-3,Ovaries, no uterus (ages 45+),"For those with ovaries but no uterus.",REC-EST+PROG,
CAT-009,TRUE,90,3,No ovaries - All ages,"For those with no ovaries, regardless of uterus status.",REC-EST,
